Datas;Usuários;Tweets
2020-03-20;biancasscp;1
2020-03-20;mfernandvxx;1
2020-03-20;renanjordani;1
2020-03-20;Geovannanoleto2;1
2020-03-20;A_peeeee;1
2020-03-20;JMK021;1
2020-03-20;pocatransa;1
2020-03-20;mochiheart13;1
2020-03-20;JovemDoBar;1
2020-03-20;ssbinhobb;1
2020-03-20;AntonioneBrasil;1
2020-03-20;silly_amendoim;1
2020-03-20;MoraessPL;1
2020-03-20;from_suburbio;1
2020-03-20;ptriste;1
2020-03-20;lileduizin;1
2020-03-20;frieira;1
2020-03-20;Joanalv3s;1
2020-03-20;vivi_naves;1
2020-03-20;biatriznrosa;1
2020-03-20;Fabio_Batel;1
2020-03-20;Pedrolealdf;1
2020-03-20;GabrielAoS13;1
2020-03-20;vicxcxc;1
2020-03-20;morena_chapada;2
2020-03-20;SonnyMooreGordo;1
2020-03-20;mairadesouza01;1
2020-03-20;Jeffmuhambee;1
2020-03-20;__bibipv;1
2020-03-20;Neuber1979;1
2020-03-20;vicgonc;1
2020-03-20;nenecamiranda;1
2020-03-20;Renan_Alves027;1
2020-03-20;Pachec9_;1
2020-03-20;lferreiramoita;1
2020-03-20;radsexual;1
2020-03-20;luannelopes_;1
2020-03-20;anizbarr;1
2020-03-20;Thierry59509572;1
2020-03-20;__gabriba__;1
2020-03-20;vctmaia2;1
2020-03-20;alerrandrozl;1
2020-03-20;TellesCelso;2
2020-03-20;EpepOdracir;1
2020-03-20;maloooah;1
2020-03-20;AnikaVix;1
2020-03-20;Guapo06909442;1
2020-03-20;aleaugusto;1
2020-03-20;UVichier;2
2020-03-20;FMEDUCATIVAUCDB;1
2020-03-20;bonnieparker00;1
2020-03-20;mestreurbano;1
2020-03-20;cardosooa_;1
2020-03-20;_polarys;1
2020-03-20;xxxgnn;1
2020-03-20;JerryLandru;1
2020-03-20;tomhwllsebs;1
2020-03-20;valuciodejesus;1
2020-03-20;mirabolei;1
2020-03-20;Suelinda17;1
2020-03-20;jorgevaladao;1
2020-03-20;yandsouzza;1
2020-03-20;QuelKostta;1
2020-03-20;_caralice;1
2020-03-20;castellarinando;1
2020-03-20;Paulovicbar;1
2020-03-20;_Claudio_Leal;2
2020-03-20;DanielGuedelha;1
2020-03-20;semespoficial;1
2020-03-20;lehmalandrinha;1
2020-03-20;batcapello;1
2020-03-20;ernani_neto;1
2020-03-20;Kaah1997_;1
2020-03-20;telminha52;1
2020-03-20;GunRwizon;1
2020-03-20;GabrielAmadix;2
2020-03-20;maripguzzo;1
2020-03-20;vvitoria_021;1
2020-03-20;raissalorentz;1
2020-03-20;wnascim3;1
2020-03-20;mauleong;1
2020-03-20;pedrinijulia;1
2020-03-20;richmtp;1
2020-03-20;belabangtan;1
2020-03-20;italo03021588;1
2020-03-20;FERNAND82367885;1
2020-03-20;AAS0121;1
2020-03-20;amorimmgabi;1
2020-03-20;barbararcb1;1
2020-03-20;marccos_joao;1
2020-03-20;gabi_meirelees;1
2020-03-20;oneinsurgent_;1
2020-03-20;GrupoMetropole;1
2020-03-20;CostaVerdeDR;1
2020-03-20;bixncxl;1
2020-03-20;AnaAragao;1
2020-03-20;Mdamelo;1
2020-03-20;pourraLois;1
2020-03-20;ilysbcrf;1
2020-03-20;OsAmigosdaOnca;1
2020-03-20;hhugofernandoo;1
2020-03-20;caarolpereir1;1
2020-03-20;rjdm008;1
2020-03-20;jomadella;1
2020-03-20;FranAline;1
2020-03-20;ronaldorfreitas;1
2020-03-20;picapau0717;1
2020-03-20;AguinaldoPetrin;1
2020-03-20;biittencourt_ju;1
2020-03-20;fllordeinverno;1
2020-03-20;andre705;1
2020-03-20;Heloise_Barros;1
2020-03-20;alane_lucena;1
2020-03-20;brilhodosol60;1
2020-03-20;anamonteiro_x;1
2020-03-20;Stthhe;1
2020-03-20;tamire3ze;1
2020-03-20;rlalves1988;1
2020-03-20;Genunca;1
2020-03-20;das_fuchs7;1
2020-03-20;eu10_04;1
2020-03-20;JorgeFe43595421;1
2020-03-20;AMARAL_15_;1
2020-03-20;_cgaabriela;1
2020-03-20;ErickMotaTV;1
2020-03-20;mdvalerio1;1
2020-03-20;_dudadfdias;1
2020-03-20;JohannsEller;1
2020-03-20;emclav;1
2020-03-20;mo_niQUE0;1
2020-03-20;gabriel_motaaa;1
2020-03-20;JooOGondim1;1
2020-03-20;LuizMontenegro2;1
2020-03-20;luk84733;1
2020-03-20;EltonOstrev;1
2020-03-20;arc_anacaroline;1
2020-03-20;joseane_olii;2
2020-03-20;martinsbfrr;1
2020-03-20;PalitotRosy;1
2020-03-20;Preetinha15;1
2020-03-20;loreenabezerra;1
2020-03-20;nanammouraa;1
2020-03-20;domingosjair523;1
2020-03-20;totxinha;1
2020-03-20;barbllz;1
2020-03-20;lauborgess;1
2020-03-20;Victormrrj;1
2020-03-20;PedroEmanoelFe1;1
2020-03-20;legagalo;1
2020-03-20;bdlyra;1
2020-03-20;_juliapas_;1
2020-03-20;roberto_maciel;1
2020-03-20;WLCDG;1
2020-03-20;DanielOpotiguar;1
2020-03-20;italuzinh;1
2020-03-20;agendabafafa;1
2020-03-20;Jhenne_7;1
2020-03-20;nerd1984;1
2020-03-20;rilocrvg;1
2020-03-20;Tatiane56570153;1
2020-03-20;Sukitaaas;1
2020-03-20;_Chingonzales;1
2020-03-20;salemttr;1
2020-03-20;sofia64267395;1
2020-03-20;rokspica;1
2020-03-20;bibiasl;1
2020-03-20;luizfalvesjr;1
2020-03-20;AbuKole;1
2020-03-20;b4rbiegiirl;1
2020-03-20;erickluan14;1
2020-03-20;_Bottazini;1
2020-03-20;_facchizinha;1
2020-03-20;px_021wl;1
2020-03-20;martaipereira;1
2020-03-20;Ajcouto1;1
2020-03-20;JeffersonSG20;1
2020-03-20;profMatthias;1
2020-03-20;GiCamargoa;1
2020-03-20;ian_tor;1
2020-03-20;orionvesper;1
2020-03-20;DebiasiScherer;1
2020-03-20;jjuliacunhax;1
2020-03-20;betoatpaschoal1;2
2020-03-20;sidartareis;1
2020-03-20;MendesOnca;1
