Bigramas;Ocorrências;Tweets_Presente
('provoca', 'hemoglobina');73;73
('hemoglobina', 'precisa');73;73
('precisa', 'plasmódio');73;73
('plasmódio', 'malária');73;73
('malária', 'retir');73;73
('janeiro', 'quase');79;79
('quase', 'terceira');76;76
('terceira', 'guerra');327;327
('guerra', 'mundial');396;396
('mundial', 'fevereiro');80;80
('fevereiro', 'corona');124;124
('vírus', 'março');75;75
('março', 'barulho');122;122
('barulho', 'céu');125;125
('céu', 'abril');122;122
('abril', 'vulcao');73;73
('vulcao', 'krakatoa');74;74
('krakatoa', 'erupção');155;155
('estudo', 'feito');119;119
('feito', 'manaus');117;117
('manaus', 'aponta');117;117
('aponta', 'alta');117;117
('alta', 'dose');117;117
('dose', 'cloroquina');104;104
('cloroquina', 'associada');73;73
('associada', 'mortes');87;87
('mortes', 'https://t.co/RSPxVWVzu5');20;20
('urgente', 'chinês');106;106
('chinês', 'representante');105;105
('representante', 'xangai');105;105
('xangai', 'brasil');109;109
('brasil', 'preso');105;105
('preso', 'arsenal');105;105
('arsenal', 'armas');105;105
('armas', 'máscaras');105;105
('máscaras', 'teste');106;106
('teste', 'covid');125;125
('19', 'portal');105;105
('sonho', 'nunca');1;1
('nunca', 'ia');2;2
('ia', 'ficar');7;7
('ficar', 'deprimido');1;1
('quarentena', '...');110;110
('...', 'tá');2;2
('tá', 'deixando');32;32
('deixando', 'entediado');7;7
('entediado', 'tesão');7;7
('hoje', 'águas');234;234
('águas', 'lindas');296;296
('lindas', 'go');295;295
('go', 'onde');234;234
('onde', 'governo');234;234
('governo', 'federal');319;319
('federal', 'investe');234;234
('investe', 'auxílio');234;234
('auxílio', 'governo');235;235
('governo', 'goiás');234;234
('goiás', '200');234;234
('200', 'leitos');234;234
('três', 'moods');7;7
('moods', 'nessa');7;7
('quarentena', 'vídeo');19;19
('vídeo', 'representando');7;7
('representando', 'jung');7;7
('jung', 'hoseok');7;7
('hoseok', 'tudo');7;7
('tudo', 'kkk');7;7
('kkk', 'https://t.co/oJX9WcdJ5D');7;7
('coronavirus', 'solicitação');33;33
('solicitação', 'renda');33;33
('renda', 'análise');33;33
('análise', 'ovo');33;33
('ovo', 'páscoa');44;44
('páscoa', 'caro');33;33
('caro', 'semana');33;33
('semana', 'pagar');33;33
('pagar', 'fatura');33;33
('fatura', 'gente');33;33
('gente', 'saber');33;33
('saber', 'tudo');34;34
('tudo', 'vo');33;33
('🛑', 'importantíssimo');145;145
('importantíssimo', 'acaba');145;145
('acaba', 'ser');224;224
('ser', 'divulgado');146;146
('divulgado', 'estudo');146;146
('estudo', 'conduzido');146;146
('conduzido', 'pesquisadores');146;146
('pesquisadores', 'eua');146;146
('eua', 'sobre');147;147
('sobre', 'uso');163;163
('uso', 'hidroxicloroquina');162;162
('hidroxicloroquina', 'm');145;145
('acabou', 'quarentena');72;72
('quarentena', 'todo');30;30
('todo', 'mundo');347;344
('mundo', 'encontrou');1;1
('encontrou', 'todo');1;1
('mundo', 'acabou');1;1
('acabou', 'farsa');1;1
('farsa', 'coronga');1;1
('coronga', 'chinês');1;1
('pós', 'quarentena');423;423
('quarentena', 'quero');95;95
('quero', 'fazer');11;11
('fazer', 'várias');4;4
('várias', 'tattos');1;1
('tattos', 'fechar');1;1
('fechar', 'perna');1;1
('quarentena', 'fazer');105;105
('fazer', 'aperceba');75;75
('aperceba', 'certas');75;75
('certas', 'pessoas');85;85
('pessoas', 'fazem');80;80
('fazem', 'falta');75;75
('falta', 'nenhuma');75;75
('novidade', 'área');2;2
('área', 'estudo');2;2
('estudo', 'recente');2;2
('recente', 'apontando');2;2
('apontando', 'novos');2;2
('novos', 'entendimentos');2;2
('entendimentos', 'sobre');2;2
('sobre', 'vírus');5;5
