Datas;Usuários;Tweets
2020-04-11;eduarda_Vlemos;1
2020-04-11;vlbruiz;1
2020-04-11;ingoszz;1
2020-04-11;ecunha19;1
2020-04-11;Cobrinh_aS;1
2020-04-11;Igor_rafael02;1
2020-04-11;Partido_PSL;1
2020-04-11;rwturcato;1
2020-04-11;ops_GiuliaReis;1
2020-04-11;marioasouza72;2
2020-04-11;ARLEYEDUARDO2;1
2020-04-11;LucianoChiorat1;1
2020-04-11;Marizamoreno10;1
2020-04-11;agatssss;1
2020-04-11;Rodrigocsdantas;1
2020-04-11;bazpitche;1
2020-04-11;Santa_Paciencia;1
2020-04-11;Renatazagob;1
2020-04-11;igor__frazao;2
2020-04-11;victorvondpp;1
2020-04-11;onlymoreauser;1
2020-04-11;mylemisyuta;1
2020-04-11;bruno_matheusx;1
2020-04-11;Guilermevitorr;1
2020-04-11;Lacoste_camisa8;1
2020-04-11;marcoAbertoldi;1
2020-04-11;najil44;1
2020-04-11;irlrita;1
2020-04-11;_thaismontin;1
2020-04-11;EduardoBrasuca;1
2020-04-11;dudicard;1
2020-04-11;Brunna_beaa;1
2020-04-11;vilson__batista;1
2020-04-11;minesfmendes;1
2020-04-11;shiynzato;1
2020-04-11;deia_contin;1
2020-04-11;plantinha123;1
2020-04-11;acg747;1
2020-04-11;AndrLea71292616;1
2020-04-11;Jacinto05245502;1
2020-04-11;MarcioJRClaro;1
2020-04-11;slyntherin__;1
2020-04-11;AbdalaEduarda;1
2020-04-11;psychokiwi_;1
2020-04-11;Hilygiu;1
2020-04-11;weirdinblue;1
2020-04-11;mmartins_r;1
2020-04-11;KarenSo96958017;1
2020-04-11;rrxxp_;1
2020-04-11;rebeccarabeIo;1
2020-04-11;gent13_;1
2020-04-11;Pedro57498739;1
2020-04-11;countscontessa;1
2020-04-11;Snips_aes;1
2020-04-11;crishatsuko;1
2020-04-11;souza_maurilio;1
2020-04-11;AdeiltonCirino;1
2020-04-11;Flordocampobsb;1
2020-04-11;_alinnegalvao;1
2020-04-11;RobertoBeltro3;1
2020-04-11;laisaaf;1
2020-04-11;jotajcmmorais;1
2020-04-11;veiocretino;1
2020-04-11;ProfUrias;1
2020-04-11;CrisLimaPE;1
2020-04-11;N1Sheila;1
2020-04-11;Fanync2;1
2020-04-11;cruisingcaligay;1
2020-04-11;larissakkkkj;1
2020-04-11;PedroMenta2;1
2020-04-11;tomfirmofotogr1;1
2020-04-11;ITAMAR16155822;1
2020-04-11;exthher;1
2020-04-11;Ianodelgay;1
2020-04-11;Luana_conti1;1
2020-04-11;antoniobraaga;1
2020-04-11;567x389;1
2020-04-11;heeyluana;1
2020-04-11;voicespaliwany;1
2020-04-11;pedroslmm;1
2020-04-11;Flags1996;2
2020-04-11;josemarivo;1
2020-04-11;glitter_gueto;1
2020-04-11;Rafaeljodes;1
2020-04-11;patriciab1029;1
2020-04-11;tadeuuuuu;1
2020-04-11;SantoroWCT;1
2020-04-11;sahernandeza;1
2020-04-11;paulaposer;1
2020-04-11;LeozimRivello;1
2020-04-11;NadiaBenites;1
2020-04-11;danielkjjj;1
2020-04-11;RaquelOMorais;1
2020-04-11;renannnn_m;1
2020-04-11;TJB6666;1
2020-04-11;Flavio75211219;1
2020-04-11;leoguedeslg;1
2020-04-11;JoeeMoreiraa;1
2020-04-11;normando301;1
2020-04-11;umfilipemoreira;1
2020-04-11;org_jb;1
2020-04-11;_rafael_vilela;1
2020-04-11;LMassoline;1
2020-04-11;BernardeesMari;1
2020-04-11;joaojuniormtd;1
2020-04-11;nayaraguedes__;1
2020-04-11;Scroupulos;1
2020-04-11;sabelapita;1
2020-04-11;vanillaprozac;1
2020-04-11;AlanaAngra;1
2020-04-11;analuizastss;1
2020-04-11;judwho;1
2020-04-11;keiseleite;1
2020-04-11;tatingrid;1
2020-04-11;astheticjjk;1
2020-04-11;bblamalachias;1
2020-04-11;lui21122112;1
2020-04-11;Isabela52864568;1
2020-04-11;mynameisbep;1
2020-04-11;nymyve;1
2020-04-11;CesarMafe;1
2020-04-11;lafemmeclara;1
2020-04-11;vmarcossoares;1
2020-04-11;Roberto12597787;1
2020-04-11;gitiranat;1
2020-04-11;Edercast;1
2020-04-11;bamoreirac;1
2020-04-11;CarolPa01521237;1
2020-04-11;ZilvaniC;1
2020-04-11;pbeatrizcamello;1
2020-04-11;btrzot;1
2020-04-11;jadsu69;1
2020-04-11;larcarlot;1
2020-04-11;marianavsi;1
2020-04-11;izique79;1
2020-04-11;eduardascia;1
2020-04-11;Mick_hazan;1
2020-04-11;jota_ve;1
2020-04-11;bandnewsfmrio;1
2020-04-11;EmanoelWj;1
2020-04-11;Benjirojas;1
2020-04-11;areneeporto;1
2020-04-11;Aguirre94186874;1
2020-04-11;lnpabr23;1
2020-04-11;ricardope;1
2020-04-11;egottrip;1
2020-04-11;rose1cavalcante;1
2020-04-11;evanptrse;1
2020-04-11;filho_pavao;1
2020-04-11;morteaoshomens1;1
2020-04-11;pdiiana17;1
2020-04-11;alexandr4;1
2020-04-11;andreea_miru;1
2020-04-11;pinklyjiminn;1
2020-04-11;victorialcrd;1
2020-04-11;KarinRCG;1
2020-04-11;sussouza;2
2020-04-11;leoeckert_;1
2020-04-11;Biiahgalvao_;1
2020-04-11;leminof;1
2020-04-11;joaorachod;1
2020-04-11;Brlourenco1983;1
2020-04-11;Anglica37965520;1
2020-04-11;ArgeliaMar1;1
2020-04-11;gmnpipoca;2
2020-04-11;LaraMarcon9;1
2020-04-11;Gemersonlx;1
2020-04-11;AvlLucaas;1
2020-04-11;adilson2023;1
2020-04-11;sejatriz;1
2020-04-11;mondleert;1
2020-04-11;JoMlGnR;1
2020-04-11;martnnmands;1
2020-04-11;Amlia40758055;1
2020-04-11;luanamm_64;1
2020-04-11;marciav2015;2
2020-04-11;paulo_aguiar;1
2020-04-11;Henriquech2C;1
2020-04-11;manusnn;1
2020-04-11;Felipe_alves_io;1
2020-04-11;killvmarx;1
2020-04-11;unicxri;1
2020-04-11;lucassimoes05;1
2020-04-11;jchoices;1
2020-04-11;Kakau_Duda;1
2020-04-11;Kleytonsurfcore;1
2020-04-11;rchdtra;1
2020-04-11;bella_roesler03;1
2020-04-11;GeneMonteiro;1
2020-04-11;sergiodireita1;1
2020-04-11;bianca_portelaa;1
2020-04-11;ErisDea;1
2020-04-11;vinicius_sdn;1
2020-04-11;JoaquimMontiel;1
2020-04-11;vn19998;1
2020-04-11;rleca16;1
2020-04-11;NMackinson;1
2020-04-11;alanabastos;1
2020-04-11;SilviaPassolon1;1
2020-04-11;everforyoufavs;1
2020-04-11;robson_fato;2
2020-04-11;paula_bsouza;1
2020-04-11;bruno_v15;1
2020-04-11;rodrigo_mirones;1
2020-04-11;tatianemoser;1
2020-04-11;gabbyandrade;1
2020-04-11;Laynesilvap;1
2020-04-11;Diogolazzaretti;1
2020-04-11;RonildoQ;1
2020-04-11;arllanrocha;1
2020-04-11;thekaah3blr;1
2020-04-11;jonnhy2019;1
2020-04-11;premprakash;1
2020-04-11;AnnaCelico;1
2020-04-11;MrGuilen;1
2020-04-11;MilaGaspar3;1
2020-04-11;mariadaianesil;1
2020-04-11;marcosfsss;1
2020-04-11;marcaoifcs;1
2020-04-11;SamuraiPerifa;1
2020-04-11;camillasilv_;1
2020-04-11;Ramondias_8;1
2020-04-11;_Mill4h;1
2020-04-11;jmscook;1
2020-04-11;_primendonca;1
2020-04-11;diabamari;1
2020-04-11;mottebykjy;1
2020-04-11;HypeJordan_;1
2020-04-11;LerandeN;1
2020-04-11;angelanddemi;1
2020-04-11;a_fernandes0;1
2020-04-11;kikomoraiis;1
2020-04-11;degasprii;1
2020-04-11;maripondian;1
2020-04-11;kirliakirlia;1
2020-04-11;cwptainstrange;1
2020-04-11;onemoretimehigh;1
2020-04-11;DasBoechat;1
2020-04-11;Churrice101;1
