Datas;Usuários;Tweets
2020-04-11;Aldo0615;1
2020-04-11;brabademais_;1
2020-04-11;davibf03;1
2020-04-11;_joongoes;1
2020-04-11;sandradribeiro1;1
2020-04-11;Jean99cerqueira;1
2020-04-11;bubblegumjjk;1
2020-04-11;marianabtw_;1
2020-04-11;comentarista76;1
2020-04-11;cassieliahlais;1
2020-04-11;LaliGonalves1;1
2020-04-11;Pedro43846074;1
2020-04-11;GercimarMota;1
2020-04-11;xxxtheusxx;1
2020-04-11;monique_pegado;1
2020-04-11;elisangelaqueli;1
2020-04-11;evelynkbarros;1
2020-04-11;VickGemea;1
2020-04-11;analaurabragad2;1
2020-04-11;MorganaAC67;1
2020-04-11;Observa50367966;1
2020-04-11;MacahdoSuzy;1
2020-04-11;Ig_RViveiros;1
2020-04-11;a_megss;1
2020-04-11;DebsMedd;1
2020-04-11;digataa_crf_14;1
2020-04-11;REDETUDOW;1
2020-04-11;JooVitorDutra8;1
2020-04-11;VlwPedrinhuu;1
2020-04-11;ritaacpereira;1
2020-04-11;xthaabab;1
2020-04-11;inxttulli;1
2020-04-11;_vtto;1
2020-04-11;Mr_Sc0rpi0n;1
2020-04-11;almeidinhajulia;1
2020-04-11;homemdasantigas;1
2020-04-11;martins_ivanor;1
2020-04-11;marcosxdaniel;1
2020-04-11;egrolli;1
2020-04-11;jjkspider;1
2020-04-11;costa_comercial;1
2020-04-11;HotspotOrlando;1
2020-04-11;motadrama;1
2020-04-11;MarllonCosta1;1
2020-04-11;Eita_Lais;1
2020-04-11;7jkrings;1
2020-04-11;AnaRossin1;1
2020-04-11;AnaGabby_Love;1
2020-04-11;OlpLz;1
2020-04-11;JoaoPed23645065;1
2020-04-11;Rafaela79935204;1
2020-04-11;helensantosreal;1
2020-04-11;MoyenneL;1
2020-04-11;leoandroidcpord;1
2020-04-11;kppblgts_igli22;1
2020-04-11;Vitordeltedesco;1
2020-04-11;fabio_ibiapina;1
2020-04-11;maurarribeiro;1
2020-04-11;beapinheiro10;1
2020-04-11;SofisticadoE;1
2020-04-11;CarinaSilva_16;1
2020-04-11;vansramosc;1
2020-04-11;ManoelF37662050;1
2020-04-11;FabioFly2;1
2020-04-11;brufxx;1
2020-04-11;ffragaroc;1
2020-04-11;f48inh0;1
2020-04-11;AninhaSennaSh;1
2020-04-11;nalgitassexis;1
2020-04-11;julhacardosox;1
2020-04-11;FernandoMirand;1
2020-04-11;janeidedesideri;1
2020-04-11;RealMaxwell8;1
2020-04-11;kastelhiamary;2
2020-04-11;zandYtha;1
2020-04-11;lucino_gabriel;1
2020-04-11;bbisoarees;1
2020-04-11;EMartinsmoraes;1
2020-04-11;Roberto23317720;1
2020-04-11;Zombie5x;1
2020-04-11;rosanacosta16;1
2020-04-11;bfrjoaoh;1
2020-04-11;pagc9696;1
2020-04-11;makalaques;1
2020-04-11;jacob07230830;1
2020-04-11;Luci_and_me;1
2020-04-11;aclemosss;1
2020-04-11;araceli47145801;1
2020-04-11;badgallsusu;1
2020-04-11;CamiloRamirez_;1
2020-04-11;jleites58;1
2020-04-11;giovannasiIva;1
2020-04-11;CorretorDino;1
2020-04-11;RoneigReis;2
2020-04-11;JanderGustavo94;1
2020-04-11;ludmilison;1
2020-04-11;MarySilva66;1
2020-04-11;erica_oIiveira;1
2020-04-11;Eloisa_MN;1
2020-04-11;DasElba;1
2020-04-11;fitzca;1
2020-04-11;danielbeltran;1
2020-04-11;Nathhprado;1
2020-04-11;PauloEliasViei1;1
2020-04-11;Tiller_Pen;1
2020-04-11;FrancoMrio;1
2020-04-11;MarilandaPires;1
2020-04-11;guerramarcelo;1
2020-04-11;ArrudaWtf;1
2020-04-11;odio_nao;2
2020-04-11;hellofromasha;1
2020-04-11;MitoBonoroRes;1
2020-04-11;Daniela_tay_;1
2020-04-11;BeatrizFSD;1
2020-04-11;myllediogenesb;1
2020-04-11;__ferreira19__;1
2020-04-11;LavaJato666;1
2020-04-11;LucianneDalsec1;1
2020-04-11;tabatahs_;1
2020-04-11;thaigaldino;1
2020-04-11;julio_cm_silva;1
2020-04-11;rafabochnia;1
2020-04-11;uncoverrlarry;1
2020-04-11;Cecilia27734108;1
2020-04-11;marquessdaniela;1
2020-04-11;aniramorim;1
2020-04-11;casadospce;1
2020-04-11;MelloEuridice;1
2020-04-11;sofiaisabel11;1
2020-04-11;pillsautomobils;1
2020-04-11;jonata07cunha;1
2020-04-11;naju0m;1
2020-04-11;djteg25;1
2020-04-11;regina_antunnes;1
2020-04-11;GabriellAraujo_;1
2020-04-11;burguesinhars;1
2020-04-11;biaandrades10;1
2020-04-11;jdiaas_;1
2020-04-11;wevertonsaraiv_;1
2020-04-11;EzimarPantoja;1
2020-04-11;KaferMarlis;1
2020-04-11;radioativo_2005;2
2020-04-11;CleberViana8;1
2020-04-11;Bicudo2013;1
2020-04-11;A_gente_ja;1
2020-04-11;luizfranciscofp;1
2020-04-11;Ppsromero;1
2020-04-11;MarcioMunoz;1
2020-04-11;badnuness;1
2020-04-11;Anaclimaco_;1
2020-04-11;bea_sa14;1
2020-04-11;OffDina;1
2020-04-11;GeraldoSilva205;1
2020-04-11;JWatilen;1
2020-04-11;CarlosVipFotos;1
2020-04-11;giovannies;1
2020-04-11;__Tinah;1
2020-04-11;FilhaDoRei53;1
2020-04-11;melsep81;1
2020-04-11;TabeyTatiana;1
2020-04-11;ebelote;1
2020-04-11;Alicegomes168;1
2020-04-11;crftalia;1
2020-04-11;lexdilima;1
2020-04-11;PedroAn50340937;1
2020-04-11;joanabapiteira;1
2020-04-11;_gabrisp;1
2020-04-11;paulinocardoso;1
2020-04-11;caramelonapipok;1
2020-04-11;kaiilaa_s;1
2020-04-11;varjao_erick;1
2020-04-11;ifvitoria_;1
2020-04-11;silviadansouza;1
2020-04-11;ElaineCSilva;1
2020-04-11;Doroothy1;1
2020-04-11;yves_anjos;1
2020-04-11;James14719;1
2020-04-11;LWynara;1
2020-04-11;Maurocza;1
2020-04-11;PedroPrspero1;1
2020-04-11;Karolcrf05;1
2020-04-11;alisonasion;1
2020-04-11;jamaldakil;1
2020-04-11;_nathhx;1
2020-04-11;WilliamfePinto;1
2020-04-11;maridsn;1
2020-04-11;Ricardo24778474;1
2020-04-11;rnxs_;1
2020-04-11;AlessandroSga11;1
2020-04-11;jotahsilva;1
2020-04-11;ruygneto;1
2020-04-11;guilhermengo81;1
2020-04-11;thepridesaiyan;1
2020-04-11;Sofihh6;1
2020-04-11;CarochaDaniel;1
2020-04-11;ocaradotuiter;1
2020-04-11;jmedeiros71;1
2020-04-11;Jasaum;1
2020-04-11;_Crixtiana_;1
2020-04-11;rafamorenou;1
2020-04-11;anaaribeir0;1
2020-04-11;viniazevedof;1
2020-04-11;souzapaula11;1
2020-04-11;hiIIary_joyce;1
2020-04-11;NatanaelBSAlme1;2
2020-04-11;lukar_lima;1
2020-04-11;maliksuprem;1
2020-04-11;semnome72598742;1
2020-04-11;Kitri1;1
2020-04-11;gvmleal;1
2020-04-11;liajucrf;1
2020-04-11;leandrasantos67;1
2020-04-11;r_amadeu;1
2020-04-11;mmoveism;1
2020-04-11;GodoiAline;1
2020-04-11;mcoletinha;1
2020-04-11;Joaquim63408875;1
2020-04-11;Francisco_Maxim;4
2020-04-11;santossjuju19;1
2020-04-11;BobWebBB;1
2020-04-11;joaopedroBT;1
2020-04-11;Anacms0;1
2020-04-11;Silvana_Mlo;1
2020-04-11;Gabriel_Quint;1
2020-04-11;LordogsO;1
2020-04-11;ElizamaNilda;1
2020-04-11;aiasjf;1
2020-04-11;BrunaKokura;1
2020-04-11;EficoDulenio;1
2020-04-11;SilvaMarcosrj;1
2020-04-11;robsongrubba;1
2020-04-11;PiroloValeria;1
2020-04-11;epedroooo;1
2020-04-11;Lmure10;2
2020-04-11;somerlux;1
2020-04-11;_bigh0use;1
2020-04-11;morenna_gaby;1
