;num_tweets
@VIOMUNDO;24
Suécia;63
suspende;5
profilático;5
Efeitos;12
cãimbras;4
visão;11
periférica;6
@FabioTalhari;77
Parece;134
cara;413
envolvido;81
Consulado;78
@Adrzadaaaa;1
Evitem;2
@ouiludido;63
algum;271
lugar;136
@ttobbu;124
aceito;140
pós;447
@tipobin;43
135645;43
poesia;43
@Rabbitduda;1
Estudos;4
dizem;20
rt;32
publicação;1
apt;1
será;215
imune;12
covid;416
terá;17
seu;795
garantido;2
@Sen_Alessandro;113
presidente;559
dedicando;87
máximo;103
influência;90
sabotar;87
recomendações;129
@GgmAndrews;4
Por;132
@miguel_cpv;2
furar;38
egoísta;14
@hoje_no;10
disseram;26
novamente;14
dispostos;5
Irã;44
c/o;1
envio;5
medicamentos;146
campanha;109
Teerã;1
irmão;46
amiga;65
pai;271
filha;89
pequena;18
precisando;66
exame;41
urgente;16
encontra;18
@brendasafra;14
menina;82
carinhosa;14
afetuosa;14
ama;22
contato;31
fisico;14
nao;167
dez;57
roubo;87
@let_oliveira15;257
junho;265
@l03n27;18
Off;6
pegariam;6
pinto;4
@ondevcfoi;67
ansiedade;129
@FlavioBolsonaro;166
interessa;167
Cientistas;133
reforçam;73
defesa;79
tratar;162
infectados;149
#CoronaVírus;111
@amandaviedo;1
tu;33
Junçao;1
parça;3
final;98
@EY_FAT;174
Nem;226
proíbe;175
girar;175
kkkkk;195
@republica_ctba;94
Tratamento;59
experimental;44
Israel;72
sucesso;615
de100%;43
graves;165
@BrazilFight;35
Míriam;20
Leitão;20
Quando;615
atravessou;28
ontem;107
mortos;592
saiu;113
passear;37
@claudio_couto;130
Perto;125
insanidade;133
mental;273
realmente;173
fichinha;125
@aquele_seu_deus;16
Jornal;17
Globo;781
@irmaosdotados;35
gostosa;88
frescura;29
😈;62
assistiu;30
novo;290
dupla;33
@Ricomarlonz;29
@kevinnurff;29
@imazusabela;1
refletindo;4
fizemos;6
lista;58
roles;9
importantes;5
alguns;137
itens;2
@MST_Oficial;14
🚩;11
SEM;24
TERRA;14
👩‍🌾;6
‼️;38
Na;690
(11);97
MST;68
realizou;15
doação;24
alimentos;40
saudáveis;4
@BrendaRafaelaP1;8
ACAAABARAM;8
DE;460
ROUBAR;8
MOTO;8
DO;617
PAI;9
FA;8
MINHA;30
FILHA;9
UNICA;10
QUE;179
ESTAVA;12
SENDO;13
PRA;121
TRAZER;8
PAO;8
ELA;14
RODANDO;8
NO;146
IFOOD;8
@betinacaetano;8
deus;78
era;367
som;56
saia;24
@olivslaris;1
vá;25
embora;69
deixe;38
joão;2
@Rayane05504300;75
engordando;117
engravidando;112
vms;112
engordar;115
engravidar;116
posso;202
@bicmuller;18
Meninas;19
mostrou;24
vocês;422
também;381
quantos;63
procedimentos;18
estéticos;18
fazia;39
sermos;19
vistas;18
@trouxaluiz;18
cada;317
feio;26
@valoreconomico;7
trabalha;13
50;59
@marcelo_semer;34
Até;134
italianos;148
taxa;65
letalidade;87
Coronavirus;195
@juziuzi;20
@sergiorauber;8
UK;8
chamaram;9
seus;476
residentes;8
pro;645
territórios;9
vez;405
@SophieeMarques;86
Fui;92
única;154
pessoa;272
cortou;87
cabelo;206
@_makavelijones;41
Democracia;7
Antes;21
determinado;9
operar;7
golpe;94
estado;193
Venezuela;54
@GIGIbebi;5
Fico;13
aliviada;3
feliz;31
triste;99
angustiada;3
pelos;143
outros;90
aceita;34
passivamente;3
@nirvana_boddah;8
Saber;1
Dave;1
Grohl;1
uns;181
52;1
anos;802
Krist;1
54;1
deixa;88
@johnczn;6
potência;6
batendo;80
recorde;29
aqui,no;6
Brasil,Rio;6
Janeiro,vagabundo;6
@charlesnisz;45
melhor;232
necessidade;79
@ALBAMEDEIROS1;103
Bahia;157
11;442
42;106
nesse;267
abril;874
@ivonepita;12
Revista;72
compara;7
Jim;6
Jones;6
autor;6
massacre;6
Jonestown;6
Em;588
1978;6
pastor;8
promoveu;7
suicídio;6
@carloshotta;5
Pq;55
acha;74
ganhar;190
dinheiro;175
Índia;34
@albuquerque_af;40
Pessoas;90
câncer;26
cirurgias;23
”fechados”;22
VAZIOS;26
atendendo;24
somente;32
@BolsonaroSP;314
Com;676
tornando;193
eficaz;201
jeito;242
pessoal;289
torce;194
@Lets_Dex;124
Confia;87
caras;100
Vai;244
@IlivesoIhate;1
Fiz;312
inteiro;126
resumido;2
virei;7
Uma;237
@StalloneMesqui6;1
Nessa;107
pato;1
vindo;8
@FLANAACAO;3
Coisas;7
lembrando;13
meio;188
@territoriorn;19
@mateiformiga;10
resumindo;13
@fabifbbr;81
milhão;367
10;336
acolá;5
distribuindo;8
bilhões;64
Estados;126
Municípios;7
Ok;12
Enquanto;182
@futtmais;85
comemorando;86
@enzodeckerbr;1
queria;245
🍆🔥😈👅;1
@hugoXXX26cm;1
🌚😈🔥;1
#SINDICATODOSDIVULGADORES;3
@sindicatodosdvs;3
@RTPNoticias;1
Reino;109
Unido;109
Europa;29
morre;534
@CorreaAssis;14
PESSOAL;14
ATENÇÃO;175
este;130
negócio;47
aceitar;105
coloquem;13
Atestado;13
Óbito;13
19;298
poderá;39
acarretar;13
futuros;14
@laurinhalero;15
ow;10
esteira;10
ergométrica;10
SARADA;10
aproximadamente;15
@MadalenaDuarte8;6
Facebook;12
terceirenses;6
“covid-19”;7
“denunciem;6
esses;96
filhos;138
@exercitooficial;45
As;313
tropas;38
Comando;29
Conjunto;28
Nordeste;28
atuam;34
kits;34
merenda;26
escolar;26
ações;52
@VICEBRASIL;2
Tem;114
“vírus;1
USA”;1
@giganteholandes;28
trabalho;117
emergência;40
começar;222
movimento;52
#devoirnohospital;27
@Beckyss2367;3
essas;153
emagrecem;3
to;379
pensando;146
comida;41
100%;19
@Julinho_ksdrama;164
@deborista;9
saio;23
rumo;9
celibato;7
completamente;16
hedonista;7
@gugachacra;804
simplesmente;731
impensáveis;717
manifestações;919
conter;733
pandemia;1272
Covid19;828
NY;725
@CmdoCMS;20
Barra;13
Quaraí/RS;9
8°;9
Regimento;11
Cavalaria;11
Mecanizado;9
prossegue;12
controle;28
fluxo;12
transfronteiriço;9
intensifica;9
@goncalooo23;125
admiro;100
meia;182
@beruta;108
Há;223
assumi;152
plantões;109
linha;129
No;727
chegavam;107
2-3;107
Alguns;115
@fellucena;3
@gusttavo_lima;78
